Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
1,Aaron Cresswell,engENG,DF,West Ham,35-139,1989.0,6.5,12,1.83,5,7,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
2,Aaron Ramsdale,engENG,GK,Southampton,26-354,1998.0,26.0,3,0.12,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
3,Aaron Wan-Bissaka,engENG,DF,West Ham,27-158,1997.0,31.0,83,2.67,66,4,7,3,1,2,7,0.23,6,0,0,1,0,0,Matches
4,Abdoulaye Doucouré,mlMLI,MF,Everton,32-122,1993.0,26.9,54,2.0,48,0,3,2,0,1,2,0.07,1,0,0,0,0,1,Matches
5,Abdukodir Khusanov,uzUZB,DF,Manchester City,21-063,2004.0,5.6,5,0.89,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
6,Abdul Fatawu Issahaku,ghGHA,FW,Leicester City,21-056,2004.0,6.4,17,2.64,10,0,2,1,4,0,3,0.47,2,0,0,1,0,0,Matches
7,Adam Armstrong,engENG,"FW,MF",Southampton,28-082,1997.0,13.9,19,1.37,12,1,2,4,0,0,4,0.29,1,0,0,3,0,0,Matches
8,Adam Lallana,engENG,MF,Southampton,36-358,1988.0,4.0,9,2.24,8,0,0,0,1,0,2,0.5,2,0,0,0,0,0,Matches
9,Adam Smith,engENG,DF,Bournemouth,34-004,1991.0,15.7,20,1.28,15,1,1,0,2,1,2,0.13,1,0,0,0,1,0,Matches
10,Adam Webster,engENG,DF,Brighton,30-119,1995.0,6.9,10,1.46,8,2,0,0,0,0,3,0.44,2,1,0,0,0,0,Matches
11,Adam Wharton,engENG,MF,Crystal Palace,20-335,2004.0,14.0,56,4.01,44,10,0,1,0,1,6,0.43,4,2,0,0,0,0,Matches
12,Adama Traoré,esESP,"FW,MF",Fulham,29-098,1996.0,17.4,73,4.19,59,0,8,4,0,2,9,0.52,8,0,1,0,0,0,Matches
13,Albert Grønbaek,dkDEN,"FW,MF",Southampton,23-345,2001.0,1.6,2,1.26,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
14,Alejandro Garnacho,arARG,"MF,FW",Manchester Utd,20-306,2004.0,22.8,74,3.24,55,1,3,9,6,0,4,0.18,2,0,0,1,1,0,Matches
15,Alex Iwobi,ngNGA,"FW,MF",Fulham,29-000,1996.0,30.2,112,3.7,96,0,8,6,2,0,16,0.53,13,0,2,1,0,0,Matches
16,Alex McCarthy,engENG,GK,Southampton,35-151,1989.0,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
17,Alex Palmer,engENG,GK,Ipswich Town,28-266,1996.0,10.0,2,0.2,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
18,Alex Scott,engENG,MF,Bournemouth,21-255,2003.0,7.6,27,3.55,18,1,0,2,3,3,2,0.26,2,0,0,0,0,0,Matches
19,Alexander Isak,seSWE,FW,Newcastle Utd,25-224,1999.0,27.6,85,3.08,64,1,8,8,2,2,14,0.51,11,0,1,0,1,1,Matches
20,Alexis Mac Allister,arARG,MF,Liverpool,26-130,1998.0,28.4,118,4.16,82,23,2,6,2,3,14,0.49,10,2,0,2,0,0,Matches
21,Alfie Dorrington,engENG,DF,Tottenham,20-013,2005.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
22,Alfie Pond,engENG,DF,Wolves,21-063,2004.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
23,Ali Al Hamadi,iqIRQ,FW,Ipswich Town,23-063,2002.0,1.5,8,5.37,4,0,3,0,1,0,0,0.0,0,0,0,0,0,0,Matches
24,Alisson,brBRA,GK,Liverpool,32-213,1992.0,23.9,6,0.25,6,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
25,Alphonse Areola,frFRA,GK,West Ham,32-065,1993.0,22.1,3,0.14,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
26,Altay Bayındır,trTUR,GK,Manchester Utd,27-019,1998.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
27,Amad Diallo,ciCIV,"FW,MF",Manchester Utd,22-296,2002.0,17.7,80,4.52,54,9,7,2,4,4,16,0.9,7,0,3,1,1,4,Matches
28,Amadou Onana,beBEL,MF,Aston Villa,23-260,2001.0,15.0,25,1.67,19,2,0,4,0,0,4,0.27,2,1,0,1,0,0,Matches
29,Andreas Pereira,brBRA,MF,Fulham,29-122,1996.0,20.9,101,4.84,52,41,0,4,4,0,8,0.38,4,2,0,0,2,0,Matches
30,Andrew Robertson,sctSCO,DF,Liverpool,31-053,1994.0,25.6,75,2.92,63,9,1,1,0,1,3,0.12,3,0,0,0,0,0,Matches
31,André,brBRA,MF,Wolves,23-291,2001.0,25.0,45,1.8,37,3,1,0,0,4,3,0.12,2,1,0,0,0,0,Matches
32,André Onana,cmCMR,GK,Manchester Utd,29-031,1996.0,33.0,4,0.12,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
33,Andrés García,esESP,"DF,MF",Aston Villa,22-085,2003.0,3.5,3,0.85,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
34,Andy Irving,sctSCO,MF,West Ham,24-355,2000.0,1.8,5,2.68,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
35,Anthony Elanga,seSWE,"FW,MF",Nott'ham Forest,23-006,2002.0,23.8,87,3.66,49,19,5,6,8,0,14,0.59,10,2,1,0,1,0,Matches
36,Anthony Gordon,engENG,FW,Newcastle Utd,24-068,2001.0,24.4,98,4.01,71,10,7,3,7,0,12,0.49,9,1,1,0,1,0,Matches
37,Antoine Semenyo,ghGHA,FW,Bournemouth,25-116,2000.0,32.3,122,3.78,79,3,19,14,5,2,12,0.37,7,0,2,1,2,0,Matches
38,Antonee Robinson,usUSA,DF,Fulham,27-268,1997.0,32.2,74,2.3,69,1,1,2,0,1,11,0.34,11,0,0,0,0,0,Matches
39,Antony,brBRA,"DF,MF",Manchester Utd,25-068,2000.0,1.6,8,5.11,6,0,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
40,Antonín Kinský,czCZE,GK,Tottenham,22-051,2003.0,4.0,1,0.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
41,Archie Gray,engENG,"DF,MF",Tottenham,19-052,2006.0,15.5,5,0.32,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
42,Arijanet Muric,xkKVX,GK,Ipswich Town,26-177,1998.0,18.0,1,0.06,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
43,Armando Broja,alALB,FW,Everton,23-235,2001.0,3.7,7,1.89,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
44,Armel Bella Kotchap,deGER,DF,Southampton,23-143,2001.0,3.7,2,0.54,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
45,Asher Agbinone,engENG,MF,Crystal Palace,19-217,2005.0,0.1,1,15.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
46,Ashley Young,engENG,"DF,FW",Everton,39-298,1985.0,17.9,37,2.06,28,6,0,1,1,1,6,0.33,4,0,0,1,0,1,Matches
47,Axel Disasi,frFRA,DF,Chelsea,27-053,1998.0,4.0,2,0.49,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
48,Axel Disasi,frFRA,DF,Aston Villa,27-053,1998.0,5.4,9,1.65,7,0,1,0,0,1,0,0.0,0,0,0,0,0,0,Matches
49,Axel Tuanzebe,cdCOD,DF,Ipswich Town,27-170,1997.0,16.1,11,0.68,9,1,0,0,1,0,2,0.12,2,0,0,0,0,0,Matches
50,Ayden Heaven,engENG,DF,Manchester Utd,18-223,2006.0,1.1,2,1.89,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
51,Bart Verbruggen,nlNED,GK,Brighton,22-258,2002.0,32.0,5,0.16,5,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
52,Ben Brereton,clCHI,FW,Southampton,26-015,1999.0,5.0,9,1.8,7,0,0,0,2,0,0,0.0,0,0,0,0,0,0,Matches
53,Ben Chilwell,engENG,DF,Crystal Palace,28-133,1996.0,1.5,3,1.93,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
54,Ben Davies,wlsWAL,DF,Tottenham,32-009,1993.0,11.5,8,0.69,7,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
55,Ben Godfrey,engENG,DF,Ipswich Town,27-108,1998.0,1.8,1,0.57,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
56,Ben Johnson,engENG,"DF,FW",Ipswich Town,25-099,2000.0,15.0,23,1.54,11,9,0,1,2,0,5,0.33,4,0,0,1,0,0,Matches
57,Ben Mee,engENG,DF,Brentford,35-224,1989.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
58,Ben White,engENG,DF,Arsenal,27-207,1997.0,9.5,15,1.58,15,0,0,0,0,0,1,0.11,1,0,0,0,0,0,Matches
59,Ben Winterburn,engENG,"FW,MF",Bournemouth,20-241,2004.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
60,Benoît Badiashile,frFRA,DF,Chelsea,24-038,2001.0,3.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
61,Bernardo Silva,ptPOR,"MF,FW",Manchester City,30-266,1994.0,26.7,83,3.11,74,2,4,0,3,0,8,0.3,8,0,0,0,0,0,Matches
62,Bernd Leno,deGER,GK,Fulham,33-060,1992.0,34.0,5,0.15,5,0,0,0,0,0,2,0.06,2,0,0,0,0,0,Matches
63,Beto,gwGNB,FW,Everton,27-092,1998.0,13.2,17,1.28,11,0,3,1,2,0,0,0.0,0,0,0,0,0,0,Matches
64,Bilal El Khannouss,maMAR,MF,Leicester City,20-358,2004.0,21.3,59,2.77,46,6,4,3,0,0,4,0.19,3,1,0,0,0,0,Matches
65,Billy Gilmour,sctSCO,MF,Brighton,23-326,2001.0,1.1,3,2.76,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
66,Bobby De Cordova-Reid,jmJAM,FW,Leicester City,32-090,1993.0,8.3,13,1.57,8,0,0,3,2,0,3,0.36,1,0,0,1,1,0,Matches
67,Boubacar Kamara,frFRA,MF,Aston Villa,25-161,1999.0,15.3,24,1.57,18,1,1,1,1,2,2,0.13,2,0,0,0,0,0,Matches
68,Boubacar Traoré,mlMLI,MF,Wolves,23-256,2001.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
69,Boubakary Soumaré,frFRA,MF,Leicester City,26-065,1999.0,21.7,34,1.57,26,0,5,1,2,0,3,0.14,3,0,0,0,0,0,Matches
70,Brajan Gruda,deGER,"FW,MF",Brighton,20-337,2004.0,5.6,26,4.61,21,2,2,0,1,0,4,0.71,3,1,0,0,0,0,Matches
71,Brandon Austin,engENG,GK,Tottenham,26-115,1999.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
72,Brennan Johnson,wlsWAL,FW,Tottenham,23-345,2001.0,23.1,46,1.99,30,0,6,4,5,1,7,0.3,5,0,1,0,1,0,Matches
73,Bruno Fernandes,ptPOR,MF,Manchester Utd,30-237,1994.0,30.6,169,5.51,120,30,5,6,6,2,12,0.39,9,2,0,1,0,0,Matches
74,Bruno Guimarães,brBRA,MF,Newcastle Utd,27-168,1997.0,32.4,119,3.68,106,3,3,0,4,3,17,0.53,16,1,0,0,0,0,Matches
75,Bryan Mbeumo,cmCMR,FW,Brentford,25-269,1999.0,33.9,131,3.86,92,21,9,5,4,0,17,0.5,10,2,2,2,1,0,Matches
76,Bukayo Saka,engENG,"FW,MF",Arsenal,23-240,2001.0,16.2,100,6.19,59,19,9,9,4,0,22,1.36,13,5,2,1,1,0,Matches
77,Caleb Kporha,engENG,DF,Crystal Palace,18-292,2006.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
78,Caleb Okoli,itITA,DF,Leicester City,23-294,2001.0,12.5,4,0.32,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
79,Callum Hudson-Odoi,engENG,"FW,MF",Nott'ham Forest,24-177,2000.0,23.9,94,3.93,74,3,10,3,4,0,11,0.46,7,0,2,0,2,0,Matches
80,Callum Wilson,engENG,FW,Newcastle Utd,33-065,1992.0,3.0,6,2.01,3,0,0,1,1,1,0,0.0,0,0,0,0,0,0,Matches
81,Calvin Bassey,ngNGA,DF,Fulham,25-123,1999.0,31.2,22,0.71,18,1,2,0,0,1,3,0.1,2,0,0,0,0,1,Matches
82,Cameron Archer,engENG,FW,Southampton,23-286,2001.0,15.1,17,1.13,8,0,4,4,1,0,0,0.0,0,0,0,0,0,0,Matches
83,Cameron Burgess,auAUS,DF,Ipswich Town,29-194,1995.0,15.1,12,0.79,12,0,0,0,0,0,2,0.13,2,0,0,0,0,0,Matches
84,Caoimhín Kelleher,ieIRL,GK,Liverpool,26-161,1998.0,10.0,3,0.3,3,0,0,0,0,0,1,0.1,1,0,0,0,0,0,Matches
85,Carlos Alcaraz,arARG,"FW,MF",Everton,22-154,2002.0,5.5,23,4.22,18,1,3,0,1,0,2,0.37,2,0,0,0,0,0,Matches
86,Carlos Alcaraz,arARG,MF,Southampton,22-154,2002.0,0.1,1,9.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
87,Carlos Baleba,cmCMR,MF,Brighton,21-120,2004.0,25.7,60,2.34,50,0,2,4,1,3,4,0.16,2,0,0,0,1,1,Matches
88,Carlos Forbs,ptPOR,"MF,FW",Wolves,21-045,2004.0,2.7,5,1.89,3,0,2,0,0,0,1,0.38,1,0,0,0,0,0,Matches
89,Carlos Soler,esESP,"MF,FW",West Ham,28-121,1997.0,15.0,46,3.08,29,7,2,5,2,1,2,0.13,2,0,0,0,0,0,Matches
90,Carlos Vinícius,brBRA,"MF,FW",Fulham,30-039,1995.0,0.2,2,11.25,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
91,Casemiro,brBRA,MF,Manchester Utd,33-069,1992.0,14.8,49,3.31,45,1,0,3,0,0,3,0.2,3,0,0,0,0,0,Matches
92,Chadi Riad,maMAR,DF,Crystal Palace,21-320,2003.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
93,Charlie Taylor,engENG,DF,Southampton,31-227,1993.0,3.0,2,0.68,2,0,0,0,0,0,1,0.34,1,0,0,0,0,0,Matches
94,Cheick Doucouré,mlMLI,MF,Crystal Palace,25-115,2000.0,5.0,9,1.79,5,0,0,2,1,1,3,0.6,1,0,0,1,1,0,Matches
95,Chidozie Obi-Martin,dkDEN,FW,Manchester Utd,17-155,2007.0,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
96,Chiedozie Ogbene,ieIRL,FW,Ipswich Town,28-002,1997.0,2.6,3,1.13,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
97,Chiquinho,ptPOR,MF,Wolves,25-087,2000.0,0.1,2,25.71,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
98,Chris Richards,usUSA,DF,Crystal Palace,25-036,2000.0,17.4,7,0.4,3,0,0,2,1,1,2,0.12,0,0,0,2,0,0,Matches
99,Chris Wood,nzNZL,FW,Nott'ham Forest,33-147,1991.0,28.9,39,1.35,31,0,2,4,0,2,5,0.17,4,0,0,0,0,1,Matches
100,Christian Eriksen,dkDEN,MF,Manchester Utd,33-078,1992.0,11.0,45,4.07,29,14,0,2,0,0,6,0.54,4,2,0,0,0,0,Matches
101,Christian Nørgaard,dkDEN,MF,Brentford,31-054,1994.0,27.3,48,1.76,39,0,0,6,2,1,9,0.33,8,0,0,0,1,0,Matches
102,Christian Walton,engENG,GK,Ipswich Town,29-175,1995.0,6.0,2,0.33,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
103,Christopher Nkunku,frFRA,FW,Chelsea,27-170,1997.0,10.2,34,3.32,21,0,5,5,1,2,4,0.39,1,0,1,1,1,0,Matches
104,Cody Gakpo,nlNED,FW,Liverpool,25-361,1999.0,18.1,70,3.87,52,0,8,5,3,2,7,0.39,3,0,3,0,1,0,Matches
105,Cole Palmer,engENG,MF,Chelsea,22-362,2002.0,31.5,180,5.72,120,21,12,18,7,2,14,0.45,10,0,2,1,1,0,Matches
106,Conor Bradley,nirNIR,DF,Liverpool,21-298,2003.0,5.9,16,2.71,11,0,4,0,1,0,2,0.34,2,0,0,0,0,0,Matches
107,Conor Chaplin,engENG,"MF,FW",Ipswich Town,28-076,1997.0,7.2,19,2.66,17,2,0,0,0,0,1,0.14,1,0,0,0,0,0,Matches
108,Conor Coady,engENG,DF,Leicester City,32-067,1993.0,15.0,4,0.27,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
109,Conor Townsend,engENG,DF,Ipswich Town,32-060,1993.0,3.7,5,1.34,4,1,0,0,0,0,1,0.27,1,0,0,0,0,0,Matches
110,Craig Dawson,engENG,DF,Wolves,34-362,1990.0,10.8,7,0.65,6,0,0,1,0,0,2,0.19,1,0,0,1,0,0,Matches
111,Cristian Romero,arARG,DF,Tottenham,27-006,1998.0,15.7,20,1.27,16,0,0,4,0,0,4,0.25,3,0,0,1,0,0,Matches
112,Crysencio Summerville,nlNED,"FW,MF",West Ham,23-185,2001.0,8.7,35,4.01,21,3,5,0,5,1,1,0.11,1,0,0,0,0,0,Matches
113,Curtis Jones,engENG,"MF,DF",Liverpool,24-093,2001.0,16.0,41,2.57,36,0,0,3,2,0,7,0.44,5,0,0,1,1,0,Matches
114,Daichi Kamada,jpJPN,MF,Crystal Palace,28-271,1996.0,14.9,46,3.09,35,6,0,2,1,2,3,0.2,2,1,0,0,0,0,Matches
115,Dan Burn,engENG,DF,Newcastle Utd,32-359,1992.0,33.0,21,0.64,16,1,0,3,1,0,3,0.09,2,1,0,0,0,0,Matches
116,Dane Scarlett,engENG,"FW,MF",Tottenham,21-040,2004.0,0.4,1,2.65,1,0,0,0,0,0,1,2.65,1,0,0,0,0,0,Matches
117,Dango Ouattara,bfBFA,FW,Bournemouth,23-081,2002.0,21.5,68,3.17,54,0,2,10,1,1,6,0.28,4,0,1,1,0,0,Matches
118,Daniel Bentley,engENG,GK,Wolves,31-294,1993.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
119,Daniel Jebbison,engENG,FW,Bournemouth,21-263,2003.0,0.8,5,5.92,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
120,Daniel Muñoz,coCOL,DF,Crystal Palace,28-342,1996.0,31.9,74,2.32,60,2,2,5,1,4,9,0.28,7,0,1,1,0,0,Matches
121,Daniel Podence,ptPOR,"MF,FW",Wolves,29-194,1995.0,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
122,Danilo,brBRA,"MF,FW",Nott'ham Forest,24-004,2001.0,3.0,7,2.37,7,0,0,0,0,0,2,0.68,2,0,0,0,0,0,Matches
123,Danny Ings,engENG,"FW,MF",West Ham,32-284,1992.0,3.2,12,3.8,7,0,1,3,1,0,2,0.63,0,0,0,1,1,0,Matches
124,Danny Ward,wlsWAL,GK,Leicester City,31-315,1993.0,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
125,Danny Welbeck,engENG,FW,Brighton,34-158,1990.0,20.6,42,2.04,31,1,3,1,6,0,6,0.29,6,0,0,0,0,0,Matches
126,Dara O'Shea,ieIRL,DF,Ipswich Town,26-060,1999.0,30.7,20,0.65,16,0,0,1,2,1,3,0.1,3,0,0,0,0,0,Matches
127,Darwin Núñez,uyURU,FW,Liverpool,25-313,1999.0,11.3,26,2.29,17,0,4,1,2,2,4,0.35,3,0,0,0,1,0,Matches
128,David Brooks,wlsWAL,"FW,MF",Bournemouth,27-299,1997.0,9.1,35,3.87,29,3,2,1,0,0,2,0.22,1,0,0,1,0,0,Matches
129,David Raya,esESP,GK,Arsenal,29-230,1995.0,34.0,4,0.12,3,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
130,Dean Henderson,engENG,GK,Crystal Palace,28-052,1997.0,34.0,3,0.09,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
131,Dean Huijsen,esESP,DF,Bournemouth,20-019,2005.0,23.8,38,1.6,35,1,0,1,1,0,3,0.13,3,0,0,0,0,0,Matches
132,Declan Rice,engENG,MF,Arsenal,26-109,1999.0,28.6,102,3.57,54,33,3,5,5,2,9,0.31,6,2,0,1,0,0,Matches
133,Dejan Kulusevski,seSWE,"MF,FW",Tottenham,25-008,2000.0,25.3,125,4.93,93,12,15,2,3,0,9,0.35,7,1,1,0,0,0,Matches
134,Destiny Udogie,itITA,DF,Tottenham,22-156,2002.0,20.4,35,1.72,31,0,0,1,1,2,3,0.15,2,0,0,0,0,1,Matches
135,Diego Carlos,brBRA,DF,Aston Villa,32-049,1993.0,9.2,4,0.43,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
136,Diego Gómez,pyPAR,MF,Brighton,22-037,2003.0,4.9,14,2.86,12,1,0,1,0,0,3,0.61,2,1,0,0,0,0,Matches
137,Diogo Dalot,ptPOR,DF,Manchester Utd,26-046,1999.0,31.0,74,2.39,57,5,7,4,0,1,5,0.16,3,0,1,1,0,0,Matches
138,Diogo Jota,ptPOR,FW,Liverpool,28-150,1996.0,12.2,35,2.87,22,0,6,5,1,1,9,0.74,5,0,2,1,1,0,Matches
139,Divin Mubama,engENG,FW,Manchester City,20-190,2004.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
140,Djed Spence,engENG,DF,Tottenham,24-267,2000.0,16.8,26,1.55,20,1,4,1,0,0,5,0.3,3,1,1,0,0,0,Matches
141,Dominic Calvert-Lewin,engENG,FW,Everton,28-048,1997.0,17.5,25,1.43,14,0,4,2,3,2,4,0.23,1,0,2,0,1,0,Matches
