Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,Pto1/3,PPA,CrsPA,PrgPp,Matches
452,Reece James,engENG,"DF,MF",Chelsea,25-146,1999.0,9.3,572,677,84.5,10299,3532,263,279,94.3,249,280,88.9,51,99,51.5,0,0.5,0.9,-0.5,10,72,5,1,51,Matches
453,Reiss Nelson,engENG,FW,Fulham,25-144,1999.0,5.4,232,268,86.6,3429,761,136,147,92.5,77,91,84.6,12,19,63.2,1,1.0,1.0,0.0,13,7,15,3,35,Matches
454,Reiss Nelson,engENG,FW,Arsenal,25-144,1999.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
455,Remy Rees-Dottin,engENG,FW,Bournemouth,19-058,2006.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
456,Renato Veiga,ptPOR,"DF,MF",Chelsea,21-278,2003.0,2.0,118,139,84.9,2171,435,45,51,88.2,55,61,90.2,13,21,61.9,0,0.0,0.2,0.0,0,6,1,0,7,Matches
457,Ricardo Pereira,ptPOR,DF,Leicester City,31-209,1993.0,3.8,178,216,82.4,2899,821,85,98,86.7,77,92,83.7,12,14,85.7,0,0.0,0.1,0.0,0,18,0,0,14,Matches
458,Riccardo Calafiori,itITA,DF,Arsenal,22-349,2002.0,10.3,449,526,85.4,6549,1644,272,297,91.6,150,175,85.7,19,28,67.9,1,0.3,0.7,0.7,6,40,9,1,54,Matches
459,Richarlison,brBRA,FW,Tottenham,27-358,1997.0,4.5,56,86,65.1,869,272,29,38,76.3,17,29,58.6,6,8,75.0,1,0.9,0.6,0.1,4,7,4,2,10,Matches
460,Rico Henry,engENG,DF,Brentford,27-299,1997.0,0.7,18,26,69.2,269,141,12,16,75.0,6,8,75.0,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
461,Rico Lewis,engENG,"DF,MF",Manchester City,20-163,2004.0,20.2,1143,1242,92.0,16487,3126,681,718,94.8,420,446,94.2,28,41,68.3,2,0.3,1.0,1.7,7,92,14,0,104,Matches
462,Robert Sánchez,esESP,GK,Chelsea,27-166,1997.0,28.0,790,1096,72.1,18908,12552,190,191,99.5,418,434,96.3,179,460,38.9,0,0.1,0.0,-0.1,2,24,1,0,1,Matches
463,Robin Olsen,seSWE,GK,Aston Villa,35-115,1990.0,2.0,54,76,71.1,1466,983,10,10,100.0,31,31,100.0,13,35,37.1,0,0.0,0.0,0.0,0,2,0,0,0,Matches
464,Rodri,esESP,MF,Manchester City,28-315,1996.0,0.7,57,61,93.4,1056,250,25,26,96.2,24,27,88.9,7,7,100.0,0,0.0,0.1,0.0,1,3,1,0,4,Matches
465,Rodrigo Bentancur,uyURU,MF,Tottenham,27-312,1997.0,16.9,916,1040,88.1,14862,3593,439,482,91.1,407,439,92.7,46,61,75.4,0,0.4,1.0,-0.4,10,107,12,2,99,Matches
466,Rodrigo Gomes,ptPOR,"DF,FW",Wolves,21-300,2003.0,7.5,171,255,67.1,2520,888,98,125,78.4,62,88,70.5,6,23,26.1,0,0.9,0.7,-0.9,12,10,12,4,25,Matches
467,Rodrigo Muniz,brBRA,FW,Fulham,23-364,2001.0,10.7,92,142,64.8,1540,528,46,68,67.6,31,45,68.9,11,13,84.6,1,0.7,0.2,0.3,7,13,3,0,27,Matches
468,Romain Esse,engENG,MF,Crystal Palace,19-355,2005.0,0.4,12,15,80.0,172,66,8,9,88.9,3,3,100.0,1,3,33.3,0,0.1,0.1,-0.1,1,1,0,0,1,Matches
469,Roman Dixon,engENG,DF,Everton,20-128,2004.0,1.0,11,19,57.9,205,111,6,8,75.0,4,8,50.0,1,3,33.3,0,0.0,0.0,0.0,0,3,0,0,0,Matches
470,Roméo Lavia,beBEL,MF,Chelsea,21-117,2004.0,6.7,302,332,91.0,5086,1375,141,156,90.4,141,149,94.6,16,20,80.0,1,0.7,0.3,0.3,7,39,3,0,23,Matches
471,Ronnie Edwards,engENG,DF,Southampton,22-036,2003.0,0.1,5,5,100.0,109,0,0,0,,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
472,Ross Barkley,engENG,MF,Aston Villa,31-149,1993.0,6.3,322,374,86.1,5027,1179,167,189,88.4,136,148,91.9,13,19,68.4,1,0.6,0.4,0.4,9,29,6,0,33,Matches
473,Ross Stewart,sctSCO,FW,Southampton,28-296,1996.0,2.7,47,62,75.8,667,64,23,29,79.3,21,24,87.5,0,1,0.0,0,0.0,0.0,0.0,0,1,1,0,1,Matches
474,Ryan Christie,sctSCO,MF,Bournemouth,30-070,1995.0,23.5,837,1056,79.3,14882,4269,368,417,88.2,378,430,87.9,82,168,48.8,3,3.5,3.0,-0.5,41,118,33,5,137,Matches
475,Ryan Fraser,sctSCO,"FW,DF",Southampton,31-068,1994.0,3.4,77,103,74.8,1121,208,43,46,93.5,28,40,70.0,3,10,30.0,0,0.1,0.1,-0.1,2,3,1,0,8,Matches
476,Ryan Gravenberch,nlNED,MF,Liverpool,22-352,2002.0,32.5,1595,1795,88.9,23774,5935,873,944,92.5,609,664,91.7,59,97,60.8,4,2.9,3.3,1.1,25,140,32,1,168,Matches
477,Ryan Manning,ieIRL,"DF,MF",Southampton,28-323,1996.0,15.2,572,732,78.1,9545,3022,292,316,92.4,217,267,81.3,49,109,45.0,1,3.0,2.7,-2.0,30,26,11,8,32,Matches
478,Ryan Sessegnon,engENG,"FW,DF",Fulham,24-350,2000.0,4.6,108,145,74.5,1543,425,71,84,84.5,28,41,68.3,5,9,55.6,2,0.9,0.7,1.1,9,7,3,1,14,Matches
479,Ryan Trevitt,engENG,MF,Brentford,22-052,2003.0,0.0,4,7,57.1,73,23,1,2,50.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
480,Ryan Yates,engENG,MF,Nott'ham Forest,27-163,1997.0,20.7,588,720,81.7,8670,1865,311,354,87.9,211,246,85.8,30,53,56.6,1,1.1,0.5,-0.1,17,46,4,0,47,Matches
481,Rúben Dias,ptPOR,DF,Manchester City,27-354,1997.0,22.2,1943,2076,93.6,33548,10768,814,839,97.0,1002,1040,96.3,101,151,66.9,0,0.3,1.0,-0.3,5,189,5,0,122,Matches
482,Sam Johnstone,engENG,GK,Wolves,32-039,1993.0,7.0,184,278,66.2,5548,4270,31,32,96.9,80,82,97.6,72,160,45.0,0,0.0,0.0,0.0,1,6,0,0,0,Matches
483,Sam Morsy,egEGY,MF,Ipswich Town,33-235,1991.0,26.9,1083,1255,86.3,17344,4779,567,608,93.3,420,459,91.5,69,120,57.5,1,0.8,1.1,0.2,18,127,13,2,103,Matches
484,Sammie Szmodics,ieIRL,"FW,MF",Ipswich Town,29-221,1995.0,10.9,144,194,74.2,2402,702,67,77,87.0,54,64,84.4,15,29,51.7,0,0.2,0.5,-0.2,4,10,4,1,18,Matches
485,Samuel Amo-Ameyaw,engENG,"FW,DF",Southampton,18-289,2006.0,0.3,8,9,88.9,107,13,6,6,100.0,2,3,66.7,0,0,,0,0.1,0.1,-0.1,1,0,1,1,0,Matches
486,Samuel Edozie,engENG,"DF,FW",Southampton,22-095,2003.0,0.7,25,33,75.8,316,67,19,21,90.5,6,7,85.7,0,3,0.0,0,0.1,0.2,-0.1,1,0,3,0,4,Matches
487,Sander Berge,noNOR,MF,Fulham,27-078,1998.0,22.4,985,1079,91.3,17541,4200,406,443,91.6,474,502,94.4,89,106,84.0,0,0.6,0.6,-0.6,17,104,4,0,110,Matches
488,Sandro Tonali,itITA,MF,Newcastle Utd,24-360,2000.0,25.2,1090,1303,83.7,17149,4348,578,644,89.8,401,461,87.0,72,118,61.0,2,1.4,1.9,0.6,20,87,25,4,113,Matches
489,Santiago Bueno,uyURU,DF,Wolves,26-175,1998.0,18.7,741,842,88.0,13598,4177,260,281,92.5,417,444,93.9,51,91,56.0,0,0.0,0.1,0.0,0,24,2,0,28,Matches
490,Saša Lukić,rsSRB,MF,Fulham,28-263,1996.0,23.1,991,1129,87.8,16673,4002,473,513,92.2,431,467,92.3,74,107,69.2,2,2.6,1.3,-0.6,23,93,14,5,87,Matches
491,Scott McTominay,sctSCO,MF,Manchester Utd,28-146,1996.0,0.2,10,10,100.0,186,99,5,5,100.0,3,3,100.0,2,2,100.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
492,Sean Longstaff,engENG,MF,Newcastle Utd,27-185,1997.0,8.9,294,348,84.5,4403,1171,161,185,87.0,111,120,92.5,15,22,68.2,0,0.2,0.2,-0.2,4,26,1,0,40,Matches
493,Sepp van den Berg,nlNED,DF,Brentford,23-134,2001.0,24.7,914,1085,84.2,15702,4997,402,460,87.4,446,503,88.7,58,93,62.4,0,0.2,0.5,-0.2,4,56,3,1,68,Matches
494,Sergio Reguilón,esESP,DF,Tottenham,28-138,1996.0,1.4,73,105,69.5,1144,410,33,44,75.0,36,47,76.6,3,9,33.3,0,0.0,0.2,0.0,1,11,2,1,12,Matches
495,Shumaira Mheuka,engENG,MF,Chelsea,17-195,2007.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
496,Simon Adingra,ciCIV,"FW,MF",Brighton,23-122,2002.0,9.9,232,310,74.8,3398,695,143,166,86.1,69,94,73.4,14,26,53.8,1,1.8,2.3,-0.8,13,5,12,5,14,Matches
497,Solly March,engENG,"FW,MF",Brighton,30-287,1994.0,1.9,60,95,63.2,990,222,35,40,87.5,16,28,57.1,7,18,38.9,0,0.3,0.3,-0.3,3,2,4,4,2,Matches
498,Son Heung-min,krKOR,FW,Tottenham,32-299,1992.0,22.3,703,890,79.0,9833,2671,437,487,89.7,192,240,80.0,36,75,48.0,9,8.2,5.1,0.8,50,36,51,6,104,Matches
499,Stefan Ortega,deGER,GK,Manchester City,32-178,1992.0,12.2,373,459,81.3,8327,5597,102,105,97.1,190,196,96.9,79,154,51.3,0,0.0,0.0,0.0,0,6,0,0,0,Matches
500,Stephy Mavididi,engENG,FW,Leicester City,26-337,1998.0,17.9,460,613,75.0,6191,1429,286,314,91.1,124,184,67.4,18,43,41.9,1,2.6,3.3,-1.6,22,32,26,7,57,Matches
501,Sven Botman,nlNED,DF,Newcastle Utd,25-111,2000.0,2.6,119,135,88.1,2026,812,57,67,85.1,52,53,98.1,7,10,70.0,0,0.0,0.0,0.0,0,9,0,0,3,Matches
502,Sávio,brBRA,"FW,MF",Manchester City,21-023,2004.0,19.3,676,836,80.9,10078,1700,412,459,89.8,222,277,80.1,31,54,57.4,8,6.8,6.0,1.2,44,19,47,8,66,Matches
503,Séamus Coleman,ieIRL,DF,Everton,36-204,1988.0,2.2,57,79,72.2,1046,504,27,29,93.1,24,31,77.4,6,16,37.5,0,0.0,0.0,0.0,0,6,0,0,8,Matches
504,Taiwo Awoniyi,ngNGA,FW,Nott'ham Forest,27-264,1997.0,4.5,61,95,64.2,705,157,42,58,72.4,14,25,56.0,1,5,20.0,0,0.1,0.1,-0.1,2,5,2,0,7,Matches
505,Takehiro Tomiyasu,jpJPN,DF,Arsenal,26-179,1998.0,0.1,3,4,75.0,42,10,1,1,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
506,Tariq Lamptey,ghGHA,DF,Brighton,24-215,2000.0,8.5,314,381,82.4,4884,1213,169,181,93.4,124,155,80.0,18,35,51.4,2,0.8,0.5,1.2,5,11,5,4,12,Matches
507,Taylor Harwood-Bellis,engENG,DF,Southampton,23-093,2002.0,28.5,1742,1979,88.0,32312,11643,637,685,93.0,937,1019,92.0,154,240,64.2,0,1.0,0.6,-1.0,14,168,9,0,116,Matches
508,Thiago,brBRA,FW,Brentford,23-311,2001.0,1.5,28,39,71.8,428,56,14,20,70.0,9,12,75.0,3,4,75.0,0,0.1,0.0,-0.1,2,1,1,0,2,Matches
509,Thomas Partey,ghGHA,"MF,DF",Arsenal,31-324,1993.0,27.1,1486,1695,87.7,23752,6336,774,832,93.0,607,682,89.0,82,122,67.2,2,1.9,2.2,0.1,17,146,33,2,165,Matches
510,Tim Iroegbunam,engENG,MF,Everton,21-307,2003.0,6.3,109,150,72.7,1830,586,49,67,73.1,42,50,84.0,13,19,68.4,1,0.2,0.1,0.8,3,10,1,0,14,Matches
511,Timo Werner,deGER,"FW,MF",Tottenham,29-058,1996.0,5.7,158,236,66.9,2383,597,80,97,82.5,61,86,70.9,7,18,38.9,3,2.5,1.5,0.5,10,3,15,2,30,Matches
512,Timothy Castagne,beBEL,DF,Fulham,29-149,1995.0,18.1,768,939,81.8,12239,3861,392,436,89.9,321,374,85.8,37,75,49.3,1,1.2,0.6,-0.2,9,51,5,3,61,Matches
513,Toby Collyer,engENG,MF,Manchester Utd,21-120,2004.0,2.0,76,92,82.6,1127,121,37,43,86.0,32,37,86.5,3,4,75.0,0,0.3,0.4,-0.3,2,3,1,0,5,Matches
514,Tom Cairney,sctSCO,MF,Fulham,34-103,1991.0,5.5,482,533,90.4,7576,1648,267,286,93.4,181,194,93.3,29,39,74.4,0,1.0,1.1,-1.0,10,46,7,3,47,Matches
515,Tommy Doyle,engENG,MF,Wolves,23-198,2001.0,5.4,321,392,81.9,6591,2010,112,119,94.1,138,155,89.0,61,93,65.6,1,0.5,0.3,0.5,7,44,3,0,40,Matches
516,Tomáš Souček,czCZE,MF,West Ham,30-065,1995.0,25.0,623,844,73.8,10461,2887,310,392,79.1,236,307,76.9,60,86,69.8,1,1.0,1.2,0.0,14,58,8,1,68,Matches
517,Tosin Adarabioyo,engENG,DF,Chelsea,27-221,1997.0,13.7,988,1081,91.4,18105,6479,374,391,95.7,554,584,94.9,58,95,61.1,1,0.2,0.2,0.8,1,53,1,0,37,Matches
518,Toti Gomes,ptPOR,DF,Wolves,26-107,1999.0,26.0,1272,1494,85.1,21197,7394,577,632,91.3,593,642,92.4,75,152,49.3,1,0.9,0.6,0.1,9,72,5,3,67,Matches
519,Trent Alexander-Arnold,engENG,DF,Liverpool,26-208,1998.0,24.9,1357,1843,73.6,26053,10688,592,659,89.8,554,728,76.1,188,381,49.3,6,6.7,6.7,-0.7,50,192,62,20,211,Matches
520,Trevoh Chalobah,engENG,DF,Chelsea,25-302,1999.0,8.3,533,591,90.2,9186,2889,239,252,94.8,256,270,94.8,34,60,56.7,1,1.2,0.3,-0.2,3,37,3,0,34,Matches
521,Trevoh Chalobah,engENG,DF,Crystal Palace,25-302,1999.0,11.8,349,442,79.0,6831,2195,125,141,88.7,178,209,85.2,42,82,51.2,0,0.4,0.3,-0.4,4,27,2,1,34,Matches
522,Tyler Adams,usUSA,MF,Bournemouth,26-078,1999.0,18.0,702,847,82.9,10949,2639,345,391,88.2,298,342,87.1,29,52,55.8,3,0.9,0.6,2.1,15,53,2,1,61,Matches
523,Tyler Dibling,engENG,"FW,MF",Southampton,19-052,2006.0,18.9,462,572,80.8,6935,1454,257,285,90.2,172,202,85.1,20,45,44.4,0,1.5,1.4,-1.5,20,25,20,1,60,Matches
524,Tyler Fredricson,engENG,DF,Manchester Utd,20-069,2005.0,1.0,64,69,92.8,1087,252,30,32,93.8,28,30,93.3,6,6,100.0,0,0.0,0.0,0.0,0,6,0,0,4,Matches
525,Tyrell Malacia,nlNED,DF,Manchester Utd,25-259,1999.0,1.1,49,55,89.1,642,260,31,33,93.9,13,14,92.9,2,2,100.0,0,0.0,0.0,0.0,1,7,1,0,3,Matches
526,Tyrick Mitchell,engENG,DF,Crystal Palace,25-244,1999.0,31.7,904,1252,72.2,14514,5536,478,567,84.3,350,470,74.5,55,130,42.3,4,5.6,3.6,-1.6,37,45,31,14,62,Matches
527,Tyrique George,engENG,FW,Chelsea,19-088,2006.0,1.1,38,46,82.6,494,72,21,23,91.3,14,17,82.4,0,2,0.0,1,0.7,0.3,0.3,5,0,1,0,2,Matches
528,Tyrone Mings,engENG,DF,Aston Villa,32-051,1993.0,11.7,581,656,88.6,10405,3319,227,245,92.7,315,334,94.3,34,63,54.0,0,0.2,0.2,-0.2,3,47,5,0,39,Matches
529,Valentino Livramento,engENG,DF,Newcastle Utd,22-172,2002.0,27.6,1228,1445,85.0,18159,5960,712,785,90.7,449,520,86.3,44,78,56.4,1,2.3,2.0,-1.3,21,94,23,5,136,Matches
530,Victor Bernth Kristiansen,dkDEN,DF,Leicester City,22-138,2002.0,26.4,1007,1297,77.6,16181,5793,510,569,89.6,411,513,80.1,65,157,41.4,1,1.4,1.7,-0.4,18,74,23,18,69,Matches
531,Victor Lindelöf,seSWE,DF,Manchester Utd,30-290,1994.0,5.2,196,209,93.8,3139,849,83,90,92.2,103,106,97.2,6,8,75.0,0,0.1,0.1,-0.1,3,6,2,1,9,Matches
532,Virgil van Dijk,nlNED,DF,Liverpool,33-299,1991.0,34.0,2446,2671,91.6,44780,17594,997,1039,96.0,1215,1273,95.4,209,308,67.9,1,0.7,0.9,0.3,12,265,6,0,176,Matches
533,Vitaliy Mykolenko,uaUKR,DF,Everton,25-339,1999.0,30.2,874,1176,74.3,14736,6026,444,500,88.8,332,448,74.1,80,177,45.2,1,1.6,1.9,-0.6,20,96,37,22,102,Matches
534,Vitaly Janelt,deGER,MF,Brentford,26-358,1998.0,25.0,872,1057,82.5,14466,4279,443,489,90.6,344,403,85.4,66,118,55.9,3,2.2,2.4,0.8,14,78,23,7,80,Matches
535,Vitezslav Jaros,czCZE,GK,Liverpool,23-284,2001.0,0.1,6,8,75.0,302,273,0,0,,1,1,100.0,5,7,71.4,0,0.0,0.0,0.0,0,2,0,0,0,Matches
536,Vitor Reis,brBRA,DF,Manchester City,19-111,2006.0,0.0,2,2,100.0,50,10,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
537,Vladimír Coufal,czCZE,DF,West Ham,32-254,1992.0,9.6,363,467,77.7,5924,2245,186,208,89.4,145,181,80.1,25,60,41.7,0,0.6,0.9,-0.6,6,35,12,7,32,Matches
538,Wataru Endo,jpJPN,MF,Liverpool,32-083,1993.0,1.9,90,97,92.8,1447,366,45,49,91.8,35,36,97.2,7,7,100.0,0,0.0,0.0,0.0,1,9,1,0,9,Matches
539,Welington,brBRA,"DF,MF",Southampton,24-073,2001.0,2.4,69,89,77.5,1098,318,29,35,82.9,32,41,78.0,3,4,75.0,0,0.0,0.1,0.0,2,5,5,4,6,Matches
540,Wes Burns,wlsWAL,"FW,DF",Ipswich Town,30-161,1994.0,10.3,153,253,60.5,2416,597,82,102,80.4,51,78,65.4,14,36,38.9,1,1.6,1.2,-0.6,10,8,8,7,8,Matches
541,Wesley Fofana,frFRA,DF,Chelsea,24-137,2000.0,13.0,724,803,90.2,12262,3415,306,326,93.9,385,416,92.5,26,42,61.9,0,0.4,0.2,-0.4,6,54,1,0,32,Matches
542,Wilfred Ndidi,ngNGA,MF,Leicester City,28-138,1996.0,22.9,717,904,79.3,10136,2633,400,462,86.6,234,290,80.7,32,62,51.6,4,1.8,1.5,2.2,15,61,10,3,64,Matches
543,Will Alves,engENG,FW,Leicester City,20-089,2005.0,0.0,1,1,100.0,12,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
544,Will Hughes,engENG,MF,Crystal Palace,30-016,1995.0,20.8,658,865,76.1,10532,3689,333,376,88.6,259,313,82.7,44,120,36.7,3,2.7,2.3,0.3,29,69,14,3,82,Matches
545,Will Lankshear,engENG,"FW,MF",Tottenham,20-013,2005.0,0.1,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
546,William Osula,dkDEN,FW,Newcastle Utd,21-272,2003.0,1.2,11,18,61.1,126,33,8,13,61.5,2,4,50.0,0,0,,0,0.1,0.0,-0.1,1,0,1,0,2,Matches
547,William Saliba,frFRA,DF,Arsenal,24-040,2001.0,31.3,2273,2412,94.2,39201,11810,953,996,95.7,1192,1241,96.1,119,148,80.4,0,0.9,1.3,-0.9,7,175,6,0,134,Matches
548,William Smallbone,ieIRL,MF,Southampton,25-071,2000.0,6.8,242,313,77.3,3918,1086,116,133,87.2,102,120,85.0,16,45,35.6,0,0.6,0.8,-0.6,9,10,3,2,23,Matches
549,Willian,brBRA,"FW,MF",Fulham,36-267,1988.0,2.5,151,178,84.8,2622,766,78,83,94.0,62,73,84.9,11,16,68.8,0,0.5,0.6,-0.5,5,17,9,2,36,Matches
550,Willy Boly,ciCIV,DF,Nott'ham Forest,34-089,1991.0,1.7,55,70,78.6,1010,477,20,22,90.9,30,32,93.8,4,15,26.7,0,0.0,0.0,0.0,0,3,0,0,2,Matches
551,Wilson Odobert,frFRA,FW,Tottenham,20-156,2004.0,6.0,166,213,77.9,2170,413,117,127,92.1,38,54,70.4,5,9,55.6,0,0.9,0.7,-0.9,5,6,10,3,19,Matches
552,Wout Faes,beBEL,DF,Leicester City,27-030,1998.0,27.3,1175,1349,87.1,21767,7509,452,484,93.4,623,657,94.8,97,184,52.7,0,0.1,0.4,-0.1,4,76,6,0,74,Matches
553,Woyo Coulibaly,frFRA,DF,Leicester City,25-348,1999.0,1.2,48,57,84.2,797,314,28,34,82.4,16,19,84.2,4,4,100.0,0,0.0,0.0,0.0,0,3,0,0,3,Matches
554,Yankuba Minteh,gmGAM,"FW,MF",Brighton,20-285,2004.0,16.6,283,459,61.7,4572,1567,163,210,77.6,85,138,61.6,28,60,46.7,4,4.7,4.6,-0.7,25,12,28,7,37,Matches
555,Yasin Ayari,seSWE,MF,Brighton,21-209,2003.0,19.3,707,869,81.4,10616,2856,413,451,91.6,244,287,85.0,33,88,37.5,1,2.2,2.3,-1.2,28,51,17,4,66,Matches
556,Yehor Yarmoliuk,uaUKR,MF,Brentford,21-063,2004.0,12.5,499,583,85.6,8728,2050,246,285,86.3,185,209,88.5,54,64,84.4,0,0.4,0.5,-0.4,8,58,6,3,48,Matches
557,Yerson Mosquera,coCOL,DF,Wolves,24-001,2001.0,4.9,205,240,85.4,3996,1184,66,73,90.4,115,123,93.5,22,35,62.9,0,0.1,0.0,-0.1,2,16,1,1,7,Matches
558,Yoane Wissa,cdCOD,FW,Brentford,28-242,1996.0,28.4,399,520,76.7,5784,1398,246,287,85.7,114,151,75.5,25,42,59.5,3,1.8,1.6,1.2,23,41,9,1,57,Matches
559,Youri Tielemans,beBEL,MF,Aston Villa,27-361,1997.0,32.4,1639,1988,82.4,28103,9982,763,847,90.1,714,815,87.6,134,249,53.8,7,6.9,5.6,0.1,59,221,35,4,226,Matches
560,Youssef Chermiti,ptPOR,"FW,MF",Everton,20-344,2004.0,0.5,5,9,55.6,73,9,3,6,50.0,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
561,Yukinari Sugawara,jpJPN,"DF,MF",Southampton,24-309,2000.0,16.3,689,862,79.9,10831,3323,366,415,88.2,272,328,82.9,35,73,47.9,1,2.2,2.5,-1.2,17,43,21,9,68,Matches
562,Yunus Emre Konak,trTUR,"FW,MF",Brentford,19-113,2006.0,0.5,25,34,73.5,423,84,13,16,81.3,9,11,81.8,3,4,75.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
563,Yves Bissouma,mlMLI,MF,Tottenham,28-246,1996.0,13.4,693,775,89.4,10536,2727,378,407,92.9,255,273,93.4,36,57,63.2,0,0.3,0.6,-0.3,6,57,10,1,71,Matches
564,Zain Silcott-Duberry,msMSR,FW,Bournemouth,19-298,2005.0,0.0,1,2,50.0,25,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
565,Álex Moreno,esESP,"DF,MF",Nott'ham Forest,31-329,1993.0,10.6,308,428,72.0,4574,1911,184,210,87.6,95,148,64.2,14,40,35.0,1,1.3,1.1,-0.3,8,25,9,2,34,Matches
566,İlkay Gündoğan,deGER,MF,Manchester City,34-191,1990.0,22.8,1408,1576,89.3,21666,4054,803,851,94.4,487,530,91.9,88,140,62.9,5,2.8,3.9,2.2,37,97,21,2,115,Matches
567,Łukasz Fabiański,plPOL,GK,West Ham,40-015,1985.0,11.9,304,454,67.0,8756,6129,53,53,100.0,147,148,99.3,104,252,41.3,0,0.0,0.0,0.0,0,4,0,0,0,Matches
