Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgCs,PrgPs,PrgRs,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
95,Chidozie Obi-Martin,dkDEN,FW,Manchester Utd,17-155,2007.0,5,0,65,0.7,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,2,1,8,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.37,0.37,0.37,Matches
96,Chiedozie Ogbene,ieIRL,FW,Ipswich Town,28-002,1997.0,5,3,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
97,Chiquinho,ptPOR,MF,Wolves,25-087,2000.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.0,0.42,Matches
98,Chris Richards,usUSA,DF,Crystal Palace,25-036,2000.0,20,18,"1,562",17.4,1,0,1,1,0,0,4,1,1.2,1.2,0.1,1.3,5,34,1,0.06,0.0,0.06,0.06,0.06,0.07,0.01,0.08,0.07,0.08,Matches
99,Chris Wood,nzNZL,FW,Nott'ham Forest,33-147,1991.0,32,31,"2,599",28.9,19,3,22,16,3,3,1,0,11.4,9.1,2.4,11.4,13,34,79,0.66,0.1,0.76,0.55,0.66,0.4,0.08,0.48,0.31,0.4,Matches
100,Christian Eriksen,dkDEN,MF,Manchester Utd,33-078,1992.0,20,11,994,11.0,0,1,1,0,0,0,4,0,0.3,0.3,2.6,2.9,10,49,29,0.0,0.09,0.09,0.0,0.09,0.03,0.24,0.26,0.03,0.26,Matches
101,Christian Nørgaard,dkDEN,MF,Brentford,31-054,1994.0,30,30,"2,459",27.3,5,2,7,5,0,0,6,1,3.7,3.7,0.8,4.5,12,126,34,0.18,0.07,0.26,0.18,0.26,0.14,0.03,0.16,0.14,0.16,Matches
102,Christian Walton,engENG,GK,Ipswich Town,29-175,1995.0,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
103,Christopher Nkunku,frFRA,FW,Chelsea,27-170,1997.0,27,9,921,10.2,3,2,5,3,0,0,2,0,4.8,4.8,2.1,6.9,17,25,68,0.29,0.2,0.49,0.29,0.49,0.47,0.21,0.68,0.47,0.67,Matches
104,Cody Gakpo,nlNED,FW,Liverpool,25-361,1999.0,31,19,"1,627",18.1,9,3,12,9,0,0,5,0,6.4,6.4,3.5,9.9,48,51,240,0.5,0.17,0.66,0.5,0.66,0.35,0.19,0.55,0.35,0.55,Matches
105,Cole Palmer,engENG,MF,Chelsea,22-362,2002.0,33,32,"2,831",31.5,14,8,22,11,3,4,6,0,15.8,12.7,9.3,22.0,103,194,165,0.45,0.25,0.7,0.35,0.6,0.5,0.3,0.8,0.4,0.7,Matches
106,Conor Bradley,nirNIR,DF,Liverpool,21-298,2003.0,15,4,533,5.9,0,1,1,0,0,0,3,0,0.6,0.6,0.5,1.1,26,25,27,0.0,0.17,0.17,0.0,0.17,0.1,0.08,0.18,0.1,0.18,Matches
107,Conor Chaplin,engENG,"MF,FW",Ipswich Town,28-076,1997.0,18,7,645,7.2,1,1,2,1,0,0,1,0,1.2,1.2,0.6,1.8,10,25,20,0.14,0.14,0.28,0.14,0.28,0.16,0.09,0.25,0.16,0.25,Matches
108,Conor Coady,engENG,DF,Leicester City,32-067,1993.0,18,15,"1,354",15.0,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,2,28,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
109,Conor Townsend,engENG,DF,Ipswich Town,32-060,1993.0,6,3,335,3.7,0,1,1,0,0,0,1,0,0.0,0.0,0.7,0.7,2,8,13,0.0,0.27,0.27,0.0,0.27,0.01,0.18,0.18,0.01,0.18,Matches
110,Craig Dawson,engENG,DF,Wolves,34-362,1990.0,15,10,971,10.8,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,6,20,5,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
111,Cristian Romero,arARG,DF,Tottenham,27-006,1998.0,18,18,"1,416",15.7,1,0,1,1,0,0,3,0,1.6,1.6,0.6,2.2,12,71,3,0.06,0.0,0.06,0.06,0.06,0.1,0.04,0.14,0.1,0.14,Matches
112,Crysencio Summerville,nlNED,"FW,MF",West Ham,23-185,2001.0,19,7,786,8.7,1,1,2,1,0,0,2,0,1.6,1.6,1.7,3.3,29,18,71,0.11,0.11,0.23,0.11,0.23,0.19,0.19,0.38,0.19,0.38,Matches
113,Curtis Jones,engENG,"MF,DF",Liverpool,24-093,2001.0,29,16,"1,438",16.0,3,3,6,3,0,0,3,1,4.1,4.1,1.0,5.1,23,85,67,0.19,0.19,0.38,0.19,0.38,0.26,0.06,0.32,0.26,0.32,Matches
114,Daichi Kamada,jpJPN,MF,Crystal Palace,28-271,1996.0,30,13,"1,338",14.9,0,0,0,0,0,0,3,1,1.0,1.0,1.8,2.8,23,73,52,0.0,0.0,0.0,0.0,0.0,0.07,0.12,0.19,0.07,0.19,Matches
115,Dan Burn,engENG,DF,Newcastle Utd,32-359,1992.0,33,33,"2,970",33.0,1,0,1,1,0,0,10,0,1.7,1.7,0.9,2.6,9,56,10,0.03,0.0,0.03,0.03,0.03,0.05,0.03,0.08,0.05,0.08,Matches
116,Dane Scarlett,engENG,"FW,MF",Tottenham,21-040,2004.0,3,0,34,0.4,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.1,1,1,1,0.0,2.65,2.65,0.0,2.65,0.09,0.12,0.22,0.09,0.22,Matches
117,Dango Ouattara,bfBFA,FW,Bournemouth,23-081,2002.0,31,20,"1,932",21.5,7,4,11,7,0,0,2,0,8.4,8.4,5.2,13.6,77,41,187,0.33,0.19,0.51,0.33,0.51,0.39,0.24,0.63,0.39,0.63,Matches
118,Daniel Bentley,engENG,GK,Wolves,31-294,1993.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
119,Daniel Jebbison,engENG,FW,Bournemouth,21-263,2003.0,12,0,76,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,2,3,11,0.0,0.0,0.0,0.0,0.0,0.24,0.23,0.48,0.24,0.48,Matches
120,Daniel Muñoz,coCOL,DF,Crystal Palace,28-342,1996.0,33,33,"2,868",31.9,4,4,8,4,0,0,9,0,4.6,4.6,4.4,9.0,49,83,183,0.13,0.13,0.25,0.13,0.25,0.14,0.14,0.28,0.14,0.28,Matches
121,Daniel Podence,ptPOR,"MF,FW",Wolves,29-194,1995.0,2,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
122,Danilo,brBRA,"MF,FW",Nott'ham Forest,24-004,2001.0,7,5,267,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
123,Danny Ings,engENG,"FW,MF",West Ham,32-284,1992.0,15,1,284,3.2,1,2,3,1,0,0,0,0,2.3,2.3,1.3,3.5,6,5,29,0.32,0.63,0.95,0.32,0.95,0.72,0.41,1.12,0.72,1.12,Matches
124,Danny Ward,wlsWAL,GK,Leicester City,31-315,1993.0,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
125,Danny Welbeck,engENG,FW,Brighton,34-158,1990.0,27,21,"1,852",20.6,9,4,13,9,0,0,4,0,8.1,8.1,1.1,9.2,19,40,80,0.44,0.19,0.63,0.44,0.63,0.39,0.05,0.45,0.39,0.45,Matches
126,Dara O'Shea,ieIRL,DF,Ipswich Town,26-060,1999.0,31,31,"2,762",30.7,0,2,2,0,0,0,6,0,1.1,1.1,0.5,1.7,3,70,7,0.0,0.07,0.07,0.0,0.07,0.04,0.02,0.05,0.04,0.05,Matches
127,Darwin Núñez,uyURU,FW,Liverpool,25-313,1999.0,26,8,"1,018",11.3,5,2,7,5,0,0,8,0,5.0,5.0,1.2,6.2,22,27,67,0.44,0.18,0.62,0.44,0.62,0.44,0.11,0.55,0.44,0.55,Matches
128,David Brooks,wlsWAL,"FW,MF",Bournemouth,27-299,1997.0,25,8,815,9.1,2,0,2,2,0,0,3,0,2.2,2.2,1.7,3.9,25,27,75,0.22,0.0,0.22,0.22,0.22,0.24,0.19,0.43,0.24,0.43,Matches
129,David Raya,esESP,GK,Arsenal,29-230,1995.0,34,34,"3,060",34.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
130,Dean Henderson,engENG,GK,Crystal Palace,28-052,1997.0,34,34,"3,060",34.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
131,Dean Huijsen,esESP,DF,Bournemouth,20-019,2005.0,28,23,"2,144",23.8,2,1,3,2,0,0,8,0,1.7,1.7,2.0,3.7,36,112,10,0.08,0.04,0.13,0.08,0.13,0.07,0.08,0.15,0.07,0.15,Matches
132,Declan Rice,engENG,MF,Arsenal,26-109,1999.0,32,30,"2,572",28.6,2,7,9,2,0,0,7,1,2.7,2.7,6.5,9.1,87,175,88,0.07,0.24,0.31,0.07,0.31,0.09,0.23,0.32,0.09,0.32,Matches
133,Dejan Kulusevski,seSWE,"MF,FW",Tottenham,25-008,2000.0,30,25,"2,281",25.3,7,4,11,7,0,0,3,0,4.2,4.2,6.1,10.3,118,122,207,0.28,0.16,0.43,0.28,0.43,0.17,0.24,0.41,0.17,0.41,Matches
134,Destiny Udogie,itITA,DF,Tottenham,22-156,2002.0,24,23,"1,834",20.4,0,1,1,0,0,0,2,0,0.3,0.3,1.5,1.8,54,120,93,0.0,0.05,0.05,0.0,0.05,0.01,0.07,0.09,0.01,0.09,Matches
135,Diego Carlos,brBRA,DF,Aston Villa,32-049,1993.0,10,8,830,9.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,3,34,0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
136,Diego Gómez,pyPAR,MF,Brighton,22-037,2003.0,12,4,440,4.9,0,0,0,0,0,0,0,0,0.4,0.4,0.5,0.9,5,20,14,0.0,0.0,0.0,0.0,0.0,0.09,0.1,0.19,0.09,0.19,Matches
137,Diogo Dalot,ptPOR,DF,Manchester Utd,26-046,1999.0,32,31,"2,788",31.0,0,3,3,0,0,0,5,0,2.0,2.0,2.0,4.0,62,102,164,0.0,0.1,0.1,0.0,0.1,0.06,0.07,0.13,0.06,0.13,Matches
138,Diogo Jota,ptPOR,FW,Liverpool,28-150,1996.0,23,13,"1,097",12.2,6,3,9,6,0,0,2,0,7.3,7.3,1.8,9.2,36,33,86,0.49,0.25,0.74,0.49,0.74,0.6,0.15,0.75,0.6,0.75,Matches
139,Divin Mubama,engENG,FW,Manchester City,20-190,2004.0,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches
140,Djed Spence,engENG,DF,Tottenham,24-267,2000.0,21,16,"1,514",16.8,1,2,3,1,0,0,4,1,0.6,0.6,1.7,2.3,53,98,68,0.06,0.12,0.18,0.06,0.18,0.03,0.1,0.13,0.03,0.13,Matches
141,Dominic Calvert-Lewin,engENG,FW,Everton,28-048,1997.0,22,19,"1,574",17.5,3,1,4,3,0,0,2,0,6.1,6.1,0.6,6.7,22,19,105,0.17,0.06,0.23,0.17,0.23,0.35,0.04,0.39,0.35,0.39,Matches
142,Dominic Solanke,engENG,FW,Tottenham,27-231,1997.0,25,24,"2,119",23.5,8,3,11,8,0,0,0,0,10.1,10.1,2.9,13.1,29,45,88,0.34,0.13,0.47,0.34,0.47,0.43,0.13,0.56,0.43,0.56,Matches
143,Dominik Szoboszlai,huHUN,MF,Liverpool,24-190,2000.0,32,26,"2,257",25.1,5,5,10,5,0,0,6,0,7.1,7.1,6.2,13.3,65,114,120,0.2,0.2,0.4,0.2,0.4,0.28,0.25,0.53,0.28,0.53,Matches
144,Donyell Malen,nlNED,FW,Aston Villa,26-114,1999.0,11,2,273,3.0,3,0,3,3,0,0,0,0,1.7,1.7,0.1,1.7,9,5,23,0.99,0.0,0.99,0.99,0.99,0.55,0.02,0.57,0.55,0.57,Matches
145,Dwight McNeil,engENG,"MF,FW",Everton,25-162,1999.0,17,13,"1,185",13.2,3,4,7,3,0,0,1,0,1.1,1.1,3.8,4.8,32,61,68,0.23,0.3,0.53,0.23,0.53,0.08,0.29,0.37,0.08,0.37,Matches
146,Eberechi Eze,engENG,"MF,FW",Crystal Palace,26-308,1998.0,30,28,"2,337",26.0,4,8,12,4,0,1,1,0,8.2,7.4,5.2,12.6,65,85,141,0.15,0.31,0.46,0.15,0.46,0.31,0.2,0.52,0.28,0.48,Matches
147,Eddie Nketiah,engENG,"FW,MF",Crystal Palace,25-338,1999.0,25,8,880,9.8,1,1,2,1,0,0,5,1,4.3,4.3,1.5,5.8,37,17,65,0.1,0.1,0.2,0.1,0.2,0.44,0.15,0.59,0.44,0.59,Matches
148,Ederson,brBRA,GK,Manchester City,31-259,1993.0,23,23,"2,050",22.8,0,4,4,0,0,0,3,0,0.0,0.0,1.5,1.5,0,1,0,0.0,0.18,0.18,0.0,0.18,0.0,0.07,0.07,0.0,0.07,Matches
149,Edmond-Paris Maghoma,engENG,"MF,FW",Brentford,23-360,2001.0,8,0,119,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,13,4,0.0,0.0,0.0,0.0,0.0,0.09,0.08,0.17,0.09,0.17,Matches
150,Edson Álvarez,mxMEX,MF,West Ham,27-191,1997.0,25,19,"1,633",18.1,0,1,1,0,0,0,8,1,0.3,0.3,0.8,1.1,21,75,18,0.0,0.06,0.06,0.0,0.06,0.02,0.04,0.06,0.02,0.06,Matches
151,Eiran Cashin,ieIRL,DF,Brighton,23-175,2001.0,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
152,Elliot Anderson,engENG,MF,Nott'ham Forest,22-178,2002.0,33,29,"2,377",26.4,2,6,8,2,0,0,7,0,1.7,1.7,3.1,4.8,44,118,82,0.08,0.23,0.3,0.08,0.3,0.06,0.12,0.18,0.06,0.18,Matches
153,Emerson Palmieri,itITA,DF,West Ham,30-273,1994.0,29,25,"2,015",22.4,2,1,3,2,0,0,5,0,2.0,2.0,1.5,3.4,44,64,82,0.09,0.04,0.13,0.09,0.13,0.09,0.07,0.15,0.09,0.15,Matches
154,Emi Buendía,arARG,"MF,FW",Aston Villa,28-129,1996.0,12,0,98,1.1,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,3,7,6,0.0,0.0,0.0,0.0,0.0,0.6,0.02,0.62,0.6,0.62,Matches
155,Emil Krafth,seSWE,DF,Newcastle Utd,30-274,1994.0,9,2,288,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,7,1,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches
156,Emile Smith Rowe,engENG,MF,Fulham,24-279,2000.0,30,23,"1,852",20.6,6,2,8,6,0,0,2,0,4.4,4.4,1.1,5.5,50,120,113,0.29,0.1,0.39,0.29,0.39,0.21,0.05,0.27,0.21,0.27,Matches
157,Emiliano Martínez,arARG,GK,Aston Villa,32-243,1992.0,33,33,"2,880",32.0,0,0,0,0,0,0,4,0,0.0,0.0,0.5,0.5,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
158,Emmanuel Agbadou,ciCIV,DF,Wolves,27-320,1997.0,13,13,"1,140",12.7,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,3,22,1,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
159,Enes Ünal,trTUR,"FW,MF",Bournemouth,27-358,1997.0,17,2,345,3.8,2,1,3,2,0,0,2,0,2.7,2.7,0.4,3.1,4,12,22,0.52,0.26,0.78,0.52,0.78,0.72,0.1,0.82,0.72,0.82,Matches
160,Enzo Fernández,arARG,MF,Chelsea,24-106,2001.0,32,28,"2,590",28.8,5,7,12,5,0,0,7,0,5.4,5.4,6.3,11.7,57,196,115,0.17,0.24,0.42,0.17,0.42,0.19,0.22,0.41,0.19,0.41,Matches
161,Eric da Silva Moreira,deGER,"MF,DF",Nott'ham Forest,19-000,2006.0,2,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
162,Erling Haaland,noNOR,FW,Manchester City,24-286,2000.0,28,28,"2,480",27.6,21,3,24,19,2,3,2,0,20.8,18.4,2.8,21.2,19,18,103,0.76,0.11,0.87,0.69,0.8,0.76,0.1,0.86,0.67,0.77,Matches
163,Ethan Nwaneri,engENG,"FW,MF",Arsenal,18-043,2007.0,24,10,816,9.1,4,2,6,4,0,0,1,0,1.1,1.1,1.0,2.2,44,30,101,0.44,0.22,0.66,0.44,0.66,0.12,0.11,0.24,0.12,0.24,Matches
164,Ethan Pinnock,jmJAM,DF,Brentford,31-339,1993.0,22,21,"1,913",21.3,2,0,2,2,0,0,2,0,1.1,1.1,1.2,2.3,3,41,9,0.09,0.0,0.09,0.09,0.09,0.05,0.05,0.11,0.05,0.11,Matches
165,Evan Ferguson,ieIRL,FW,Brighton,20-196,2004.0,13,2,246,2.7,1,0,1,1,0,0,0,0,0.5,0.5,0.4,1.0,2,1,9,0.37,0.0,0.37,0.37,0.37,0.2,0.15,0.35,0.2,0.35,Matches
166,Evan Ferguson,ieIRL,FW,West Ham,20-196,2004.0,7,1,145,1.6,0,0,0,0,0,0,0,0,0.6,0.6,0.3,0.9,1,0,6,0.0,0.0,0.0,0.0,0.0,0.35,0.19,0.53,0.35,0.53,Matches
167,Evanilson,brBRA,FW,Bournemouth,25-209,1999.0,27,24,"1,972",21.9,9,1,10,9,0,1,0,1,11.0,10.2,1.6,11.9,26,19,87,0.41,0.05,0.46,0.41,0.46,0.5,0.07,0.58,0.47,0.54,Matches
168,Ezri Konsa,engENG,DF,Aston Villa,27-192,1997.0,30,29,"2,576",28.6,1,0,1,1,0,0,0,0,0.9,0.9,0.4,1.3,16,73,11,0.03,0.0,0.03,0.03,0.03,0.03,0.01,0.05,0.03,0.05,Matches
169,Fabian Schär,chSUI,DF,Newcastle Utd,33-134,1991.0,30,29,"2,575",28.6,4,0,4,4,0,0,7,1,2.1,2.1,0.4,2.5,14,95,17,0.14,0.0,0.14,0.14,0.14,0.07,0.01,0.09,0.07,0.09,Matches
170,Fabio Carvalho,ptPOR,"FW,MF",Brentford,22-246,2002.0,19,3,455,5.1,2,1,3,2,0,0,1,0,2.5,2.5,0.7,3.2,9,17,23,0.4,0.2,0.59,0.4,0.59,0.49,0.13,0.62,0.49,0.62,Matches
171,Facundo Buonanotte,arARG,"FW,MF",Leicester City,20-131,2004.0,29,14,"1,474",16.4,4,2,6,4,0,0,7,0,3.8,3.8,3.1,6.8,38,52,69,0.24,0.12,0.37,0.24,0.37,0.23,0.19,0.42,0.23,0.42,Matches
172,Federico Chiesa,itITA,FW,Liverpool,27-190,1997.0,4,0,37,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,2,6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.6,0.6,Matches
173,Ferdi Kadioglu,trTUR,"DF,MF",Brighton,25-208,1999.0,6,5,385,4.3,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,1,15,27,0.23,0.0,0.23,0.23,0.23,0.1,0.04,0.14,0.1,0.14,Matches
174,Filip Jørgensen,dkDEN,GK,Chelsea,23-017,2002.0,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
175,Flynn Downes,engENG,MF,Southampton,26-103,1999.0,23,21,"1,791",19.9,1,0,1,1,0,0,10,0,0.6,0.6,1.1,1.7,24,59,28,0.05,0.0,0.05,0.05,0.05,0.03,0.05,0.09,0.03,0.09,Matches
176,Frank Onyeka,ngNGA,MF,Brentford,27-122,1998.0,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
177,Fraser Forster,engENG,GK,Tottenham,37-047,1988.0,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
178,Gabriel Jesus,brBRA,FW,Arsenal,28-030,1997.0,17,6,608,6.8,3,0,3,3,0,0,4,0,3.0,3.0,0.7,3.7,15,19,57,0.44,0.0,0.44,0.44,0.44,0.44,0.1,0.54,0.44,0.54,Matches
179,Gabriel Magalhães,brBRA,DF,Arsenal,27-135,1997.0,28,28,"2,363",26.3,3,1,4,3,0,0,4,0,2.6,2.6,0.9,3.5,10,126,11,0.11,0.04,0.15,0.11,0.15,0.1,0.03,0.13,0.1,0.13,Matches
180,Gabriel Martinelli,brBRA,"FW,MF",Arsenal,23-319,2001.0,29,21,"1,956",21.7,7,4,11,7,0,0,1,0,5.9,5.9,4.5,10.3,106,44,259,0.32,0.18,0.51,0.32,0.51,0.27,0.21,0.47,0.27,0.47,Matches
181,George Edmundson,engENG,DF,Ipswich Town,27-245,1997.0,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
182,George Hirst,sctSCO,FW,Ipswich Town,26-077,1999.0,22,3,470,5.2,2,1,3,2,0,0,1,0,1.3,1.3,0.3,1.5,9,12,27,0.38,0.19,0.57,0.38,0.57,0.25,0.05,0.29,0.25,0.29,Matches
183,Georginio Rutter,frFRA,"MF,FW",Brighton,23-013,2002.0,28,19,"1,656",18.4,5,3,8,5,0,0,2,0,4.6,4.6,2.5,7.1,42,67,79,0.27,0.16,0.43,0.27,0.43,0.25,0.14,0.39,0.25,0.39,Matches
184,Gonçalo Guedes,ptPOR,"MF,FW",Wolves,28-155,1996.0,26,7,783,8.7,2,4,6,2,0,0,1,0,2.2,2.2,1.1,3.3,32,31,60,0.23,0.46,0.69,0.23,0.69,0.26,0.13,0.38,0.26,0.38,Matches
185,Guglielmo Vicario,itITA,GK,Tottenham,28-208,1996.0,22,22,"1,980",22.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
186,Guido Rodríguez,arARG,MF,West Ham,31-021,1994.0,20,14,"1,018",11.3,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,2,31,5,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
187,Gustavo Nunes,brBRA,"MF,FW",Brentford,19-164,2005.0,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
188,Hamza Choudhury,bdBAN,"MF,DF",Leicester City,27-214,1997.0,4,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,4,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.27,Matches
