Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,xG,xAG,PrgCs,PrgPs,PrgRs,Gls.1,Ast.1,xG.1,xAG.1,SoT%,SoT/90,G/Sh,Dist,Cmp,Cmp%,TotDist,Cmp%.1,Cmp%.2,Cmp%.3,KP,Pto1/3,PPA,CrsPA,PrgPp,SCA,SCA90,GCA,GCA90,Tkl,TklW,Attd,Lostd,Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Attp,Succ%,Tkld%,Carries,PrgDist,PrgCp,Cto1/3,CPA,Mis,Dis,Rec,PrgRp,Fls,Fld,Off,Crs,Recov,Won,Lostm,Won%,GA90,Save%,CS%,Save%.1
Arsenal,22.59090909090909,17.0,1519.4545454545455,2.772727272727273,2.272727272727273,2.909090909090909,0.22727272727272727,2.5,1.8863636363636365,34.31818181818182,75.18181818181819,74.18181818181819,0.165,0.13863636363636364,0.15227272727272728,0.12090909090909091,27.890476190476193,0.41090909090909095,0.13666666666666666,14.671428571428573,700.4090909090909,82.34545454545454,11484.318181818182,90.87272727272727,84.87272727272727,55.54545454545455,17.136363636363637,56.95454545454545,17.863636363636363,3.0,75.18181818181819,38.81818181818182,2.458636363636364,4.909090909090909,0.2963636363636364,24.09090909090909,14.272727272727273,20.772727272727273,10.318181818181818,13.181818181818182,4.318181818181818,8.863636363636363,9.272727272727273,983.7727272727273,73.5909090909091,246.1818181818182,427.95454545454544,316.90909090909093,52.5,29.727272727272727,48.877272727272725,36.91818181818182,578.1818181818181,1631.9545454545455,34.31818181818182,21.363636363636363,11.772727272727273,19.318181818181817,15.681818181818182,693.6818181818181,74.18181818181819,16.636363636363637,16.318181818181817,3.409090909090909,31.818181818181817,58.04545454545455,19.5,18.954545454545453,48.0,0.85,75.5,35.3,0.0
Aston Villa,18.857142857142858,13.357142857142858,1200.0,1.8571428571428572,1.4642857142857142,2.4285714285714284,0.07142857142857142,1.9142857142857144,1.4035714285714285,23.071428571428573,42.75,42.32142857142857,0.1757142857142857,0.08607142857142858,0.19285714285714287,0.09178571428571429,29.4,0.4692857142857143,0.0756,16.924,476.64285714285717,81.22142857142856,8150.392857142857,90.03214285714286,86.47142857142856,54.125,11.75,36.714285714285715,10.25,1.8214285714285714,42.75,27.928571428571427,2.1167857142857143,3.357142857142857,0.2357142857142857,20.964285714285715,12.107142857142858,17.678571428571427,7.714285714285714,10.642857142857142,3.5,7.142857142857143,7.964285714285714,701.0714285714286,84.57142857142857,236.21428571428572,299.0357142857143,172.75,30.964285714285715,23.428571428571427,50.67777777777778,38.785185185185185,396.42857142857144,1149.857142857143,23.071428571428573,14.535714285714286,7.0,16.392857142857142,12.321428571428571,467.92857142857144,42.32142857142857,13.321428571428571,15.821428571428571,1.7857142857142858,19.5,45.214285714285715,12.035714285714286,13.464285714285714,40.32222222222222,1.705,60.75,57.6,50.0
Bournemouth,21.608695652173914,16.217391304347824,1451.7391304347825,2.260869565217391,1.6521739130434783,3.782608695652174,0.08695652173913043,2.639130434782609,1.7739130434782608,29.26086956521739,57.43478260869565,56.608695652173914,0.13434782608695653,0.10130434782608697,0.1817391304347826,0.12913043478260872,24.985,0.5434782608695652,0.057999999999999996,15.830000000000002,488.9130434782609,73.82173913043479,8854.95652173913,86.80434782608695,81.3695652173913,46.665217391304346,17.434782608695652,47.34782608695652,12.956521739130435,3.9130434782608696,57.43478260869565,40.130434782608695,2.599565217391304,3.869565217391304,0.23,27.47826086956522,15.91304347826087,24.869565217391305,13.130434782608695,18.47826086956522,5.565217391304348,12.91304347826087,14.0,829.0869565217391,87.47826086956522,249.65217391304347,354.17391304347825,235.52173913043478,39.130434782608695,26.434782608695652,43.015,43.085,445.1304347826087,1396.8695652173913,29.26086956521739,20.347826086956523,9.0,22.956521739130434,13.826086956521738,484.0,56.608695652173914,19.82608695652174,15.304347826086957,2.739130434782609,32.30434782608695,71.43478260869566,22.782608695652176,24.217391304347824,50.195454545454545,1.0866666666666667,80.0,15.299999999999999,0.0
Brentford,22.857142857142858,17.80952380952381,1592.3333333333333,2.761904761904762,1.8571428571428572,2.5238095238095237,0.047619047619047616,2.480952380952381,1.7952380952380953,25.285714285714285,56.714285714285715,56.04761904761905,0.1123809523809524,0.0838095238095238,0.11952380952380953,0.09047619047619047,30.811111111111114,0.31142857142857144,0.07722222222222223,15.988888888888889,565.8095238095239,76.44285714285714,10385.42857142857,86.33809523809524,81.95238095238095,55.090476190476195,14.095238095238095,46.76190476190476,13.761904761904763,3.8095238095238093,56.714285714285715,33.23809523809524,1.8633333333333335,4.761904761904762,0.2523809523809524,26.714285714285715,16.238095238095237,24.761904761904763,11.619047619047619,20.38095238095238,8.380952380952381,12.0,12.476190476190476,910.4761904761905,142.61904761904762,357.3333333333333,338.9047619047619,222.52380952380952,41.76190476190476,26.238095238095237,49.05789473684211,42.078947368421055,481.0,1335.2380952380952,25.285714285714285,15.428571428571429,9.0,22.38095238095238,12.333333333333334,557.4761904761905,56.04761904761905,12.952380952380953,14.571428571428571,2.9523809523809526,28.571428571428573,69.0952380952381,26.761904761904763,23.61904761904762,53.98571428571429,1.3599999999999999,62.0,59.1,0.0
Brighton,18.964285714285715,13.357142857142858,1198.4642857142858,1.9285714285714286,1.2857142857142858,2.607142857142857,0.10714285714285714,1.8821428571428573,1.292857142857143,25.857142857142858,48.92857142857143,48.642857142857146,0.12250000000000001,0.09035714285714287,0.12964285714285714,0.10178571428571428,30.50769230769231,0.45607142857142857,0.08038461538461537,17.557692307692307,506.0357142857143,79.44642857142857,8611.857142857143,89.52142857142857,81.33928571428571,54.332142857142856,11.714285714285714,37.92857142857143,10.785714285714286,2.8214285714285716,48.92857142857143,29.607142857142858,2.5025,3.4642857142857144,0.29964285714285716,22.107142857142858,13.464285714285714,22.464285714285715,11.607142857142858,14.0,3.892857142857143,10.107142857142858,10.0,757.3928571428571,83.03571428571429,241.46428571428572,328.7857142857143,195.60714285714286,34.0,26.214285714285715,44.61851851851852,47.1,445.2857142857143,1340.142857142857,25.857142857142858,18.321428571428573,8.285714285714286,18.357142857142858,11.142857142857142,500.2857142857143,48.642857142857146,14.071428571428571,13.357142857142858,1.4285714285714286,22.178571428571427,52.107142857142854,16.714285714285715,15.0,50.170370370370364,1.095,69.15,34.4,0.0
Chelsea,19.153846153846153,14.384615384615385,1291.423076923077,2.1923076923076925,1.6923076923076923,3.6153846153846154,0.038461538461538464,2.4461538461538463,1.876923076923077,30.115384615384617,56.53846153846154,55.80769230769231,0.14615384615384613,0.1323076923076923,0.155,0.15307692307692308,29.847826086956523,0.45692307692307693,0.09391304347826088,15.108695652173912,636.4615384615385,84.07692307692308,11007.26923076923,91.06923076923077,88.48076923076923,57.18076923076923,16.26923076923077,52.76923076923077,12.653846153846153,2.6923076923076925,56.53846153846154,37.80769230769231,2.3284615384615384,3.923076923076923,0.2561538461538462,20.0,12.5,18.692307692307693,9.346153846153847,12.0,3.576923076923077,8.423076923076923,9.384615384615385,882.9615384615385,81.96153846153847,263.61538461538464,398.9230769230769,227.73076923076923,39.5,27.115384615384617,46.3125,38.6,513.7307692307693,1451.7692307692307,30.115384615384617,17.0,10.923076923076923,15.961538461538462,10.615384615384615,631.2307692307693,55.80769230769231,15.076923076923077,15.461538461538462,2.1153846153846154,23.46153846153846,54.0,13.961538461538462,13.692307692307692,46.816,1.3050000000000002,74.05000000000001,22.65,10.0
Crystal Palace,23.38095238095238,17.714285714285715,1585.904761904762,1.8571428571428572,1.5238095238095237,3.4761904761904763,0.19047619047619047,2.4428571428571426,1.880952380952381,21.095238095238095,48.666666666666664,48.19047619047619,0.08571428571428572,0.06190476190476191,0.13952380952380952,0.10095238095238096,30.123809523809523,0.49666666666666665,0.06190476190476191,18.142857142857142,504.3809523809524,74.22857142857143,9060.904761904761,84.41904761904762,79.96666666666667,49.838095238095235,15.619047619047619,37.80952380952381,11.428571428571429,2.8095238095238093,48.666666666666664,36.285714285714285,2.1966666666666668,3.5238095238095237,0.17523809523809522,32.61904761904762,19.142857142857142,27.952380952380953,14.047619047619047,20.476190476190474,5.904761904761905,14.571428571428571,13.666666666666666,860.8571428571429,107.71428571428571,322.7142857142857,358.14285714285717,188.23809523809524,32.57142857142857,20.333333333333332,41.489999999999995,48.239999999999995,431.5238095238095,1055.0,21.095238095238095,15.0,5.190476190476191,21.0,14.380952380952381,499.6666666666667,48.19047619047619,17.61904761904762,17.238095238095237,3.142857142857143,25.428571428571427,70.85714285714286,21.666666666666668,27.142857142857142,41.18095238095238,1.38,66.9,29.4,50.0
Everton,21.727272727272727,16.954545454545453,1520.2727272727273,1.4090909090909092,0.9090909090909091,3.227272727272727,0.09090909090909091,1.6727272727272726,1.2818181818181817,19.727272727272727,41.31818181818182,40.5,0.09045454545454545,0.05818181818181818,0.11318181818181819,0.08272727272727273,32.6,0.3704545454545455,0.07952380952380952,17.271428571428572,453.1818181818182,74.26818181818182,8580.318181818182,85.37272727272727,79.82727272727273,57.186363636363645,12.090909090909092,40.13636363636363,10.545454545454545,3.6363636363636362,41.31818181818182,28.681818181818183,1.8827272727272728,2.3636363636363638,0.15636363636363637,30.045454545454547,17.59090909090909,26.636363636363637,12.954545454545455,15.954545454545455,5.7727272727272725,10.181818181818182,13.545454545454545,780.2727272727273,99.5,282.90909090909093,313.72727272727275,192.04545454545453,29.136363636363637,26.454545454545453,48.042857142857144,44.49523809523809,377.3181818181818,1012.2727272727273,19.727272727272727,14.590909090909092,5.0,20.90909090909091,15.909090909090908,448.8181818181818,40.5,17.772727272727273,15.0,3.5,27.363636363636363,61.95454545454545,24.727272727272727,22.636363636363637,48.35,1.21,71.5,29.4,100.0
Fulham,23.772727272727273,16.954545454545453,1523.2727272727273,2.227272727272727,1.9090909090909092,3.1818181818181817,0.09090909090909091,2.0772727272727276,1.5909090909090908,32.18181818181818,63.86363636363637,62.77272727272727,0.16863636363636364,0.10818181818181817,0.14863636363636365,0.10181818181818182,29.32857142857143,0.5436363636363637,0.07476190476190477,16.41904761904762,661.5,80.31818181818181,11796.545454545454,88.52272727272727,84.44545454545454,58.61363636363637,16.0,54.77272727272727,13.409090909090908,4.2272727272727275,63.86363636363637,37.72727272727273,2.537272727272727,4.136363636363637,0.23727272727272727,27.181818181818183,16.636363636363637,22.954545454545453,11.227272727272727,15.045454545454545,4.5,10.545454545454545,12.409090909090908,975.7727272727273,106.04545454545455,327.22727272727275,401.8636363636364,257.09090909090907,38.0,26.09090909090909,43.67142857142857,37.13333333333333,578.0,1563.9545454545455,32.18181818181818,22.636363636363637,9.181818181818182,20.5,11.363636363636363,654.8181818181819,62.77272727272727,17.181818181818183,14.681818181818182,1.7727272727272727,36.81818181818182,65.9090909090909,21.818181818181817,21.772727272727273,45.809090909090905,1.35,68.3,14.7,0.0
Ipswich Town,17.666666666666668,12.466666666666667,1113.7666666666667,1.0666666666666667,0.8,2.8333333333333335,0.16666666666666666,1.0366666666666666,0.7,14.633333333333333,27.133333333333333,26.733333333333334,0.084,0.06933333333333333,0.091,0.05733333333333333,28.508333333333336,0.2906666666666667,0.06916666666666667,16.591666666666665,336.3,74.95666666666666,5993.966666666666,87.08666666666666,81.43333333333334,48.15714285714286,8.0,25.366666666666667,4.833333333333333,1.4666666666666666,27.133333333333333,18.6,1.5233333333333334,1.7333333333333334,0.13499999999999998,17.9,10.066666666666666,18.366666666666667,9.633333333333333,13.333333333333334,5.733333333333333,7.6,9.533333333333333,563.5666666666667,90.96666666666667,230.93333333333334,221.9,117.0,17.233333333333334,18.366666666666667,44.345454545454544,45.349999999999994,278.8333333333333,753.9666666666667,14.633333333333333,9.766666666666667,4.3,16.3,10.333333333333334,333.06666666666666,26.733333333333334,12.9,11.866666666666667,1.5,14.733333333333333,43.03333333333333,16.2,16.2,52.49333333333333,2.3333333333333335,62.53333333333333,7.433333333333333,0.0
Leicester City,19.73076923076923,14.384615384615385,1292.2307692307693,1.0384615384615385,0.8076923076923077,3.076923076923077,0.0,1.1307692307692307,0.8653846153846154,20.346153846153847,37.96153846153846,37.46153846153846,0.05846153846153846,0.05653846153846154,0.06615384615384615,0.06538461538461539,34.122727272727275,0.2703846153846154,0.05590909090909091,17.927272727272726,483.84615384615387,77.9423076923077,8105.576923076923,88.65,84.21153846153847,55.49615384615385,8.615384615384615,34.15384615384615,7.615384615384615,2.423076923076923,37.96153846153846,19.923076923076923,1.335,1.8076923076923077,0.11923076923076924,25.384615384615383,14.846153846153847,24.26923076923077,12.692307692307692,17.26923076923077,6.615384615384615,10.653846153846153,11.307692307692308,754.4615384615385,99.11538461538461,275.96153846153845,343.5769230769231,142.23076923076923,21.76923076923077,22.46153846153846,43.699999999999996,48.30416666666667,428.4230769230769,1065.1538461538462,20.346153846153847,12.846153846153847,4.8076923076923075,17.0,11.307692307692308,479.53846153846155,37.46153846153846,14.0,13.0,2.230769230769231,22.0,51.65384615384615,17.576923076923077,19.576923076923077,49.45416666666667,2.73,54.36666666666667,1.2333333333333334,25.0
Liverpool,24.476190476190474,17.80952380952381,1596.3809523809523,3.761904761904762,2.8095238095238093,2.9523809523809526,0.09523809523809523,3.6285714285714286,2.6285714285714286,35.19047619047619,81.38095238095238,80.61904761904762,0.16904761904761903,0.14761904761904762,0.1895238095238095,0.13666666666666666,31.727777777777778,0.5071428571428571,0.07444444444444445,15.47777777777778,778.0952380952381,82.85238095238095,13238.142857142857,91.20476190476191,86.71428571428571,60.32380952380952,22.0,67.71428571428571,18.61904761904762,3.619047619047619,81.38095238095238,49.80952380952381,2.6333333333333333,6.476190476190476,0.3480952380952381,28.047619047619047,17.285714285714285,28.285714285714285,13.333333333333334,15.428571428571429,3.9523809523809526,11.476190476190476,12.904761904761905,1102.047619047619,97.71428571428571,301.3809523809524,497.5238095238095,312.8095238095238,55.80952380952381,28.238095238095237,54.910000000000004,37.980000000000004,632.7142857142857,1718.4761904761904,35.19047619047619,23.761904761904763,13.714285714285714,22.571428571428573,14.476190476190476,769.6666666666666,80.61904761904762,18.523809523809526,15.19047619047619,2.619047619047619,31.047619047619047,68.85714285714286,17.904761904761905,15.952380952380953,50.480952380952374,1.02,69.69999999999999,38.75,100.0
Manchester City,19.88,15.36,1381.36,2.64,1.92,2.32,0.04,2.52,2.028,41.64,70.28,69.6,0.1784,0.102,0.16079999999999997,0.1164,31.45,0.4636,0.13272727272727272,17.027272727272727,793.52,86.50399999999999,12871.28,92.12799999999999,89.516,59.776,17.24,62.0,15.88,2.32,70.28,39.76,2.3836,4.64,0.2756,18.44,11.2,16.88,8.84,12.44,3.28,9.16,8.2,1033.8,78.52,241.56,447.28,353.4,48.52,29.68,47.89565217391304,37.56086956521739,664.68,2051.96,41.64,31.16,14.48,17.4,14.88,783.04,69.6,10.64,13.88,1.68,23.6,53.0,11.12,11.96,45.18,1.2850000000000001,68.25,29.9,0.0
Manchester Utd,18.77777777777778,13.777777777777779,1231.6666666666667,1.3703703703703705,0.9259259259259259,2.7777777777777777,0.1111111111111111,1.7148148148148148,1.2814814814814814,22.51851851851852,46.7037037037037,46.03703703703704,0.07296296296296297,0.04259259259259259,0.12481481481481482,0.09296296296296296,26.02608695652174,0.37222222222222223,0.05217391304347826,16.391304347826086,550.5185185185185,82.62962962962963,9019.814814814816,89.71111111111111,84.52222222222223,58.81111111111112,13.11111111111111,37.0,10.703703703703704,2.3333333333333335,46.7037037037037,30.444444444444443,2.3555555555555556,2.2222222222222223,0.12037037037037036,27.037037037037038,16.25925925925926,23.51851851851852,10.592592592592593,12.407407407407407,3.5555555555555554,8.851851851851851,12.555555555555555,810.4444444444445,82.44444444444444,282.85185185185185,343.44444444444446,191.7037037037037,31.25925925925926,20.88888888888889,46.56,47.751999999999995,494.22222222222223,1239.4074074074074,22.51851851851852,15.777777777777779,7.555555555555555,16.62962962962963,11.962962962962964,544.8148148148148,46.03703703703704,13.555555555555555,12.185185185185185,2.2962962962962963,20.77777777777778,56.7037037037037,15.74074074074074,16.11111111111111,51.776923076923076,1.3,69.0,27.3,25.0
Newcastle Utd,22.565217391304348,16.26086956521739,1459.8260869565217,2.739130434782609,2.0869565217391304,2.5652173913043477,0.043478260869565216,2.5478260869565217,1.8521739130434782,29.08695652173913,61.17391304347826,60.73913043478261,0.1634782608695652,0.10652173913043479,0.14304347826086958,0.09913043478260869,22.91904761904762,0.371304347826087,0.08714285714285715,15.619047619047619,599.4347826086956,79.65217391304348,10098.478260869566,87.70869565217392,85.26521739130435,54.019047619047626,15.521739130434783,44.17391304347826,14.91304347826087,2.782608695652174,61.17391304347826,36.130434782608695,2.0782608695652174,4.782608695652174,0.22782608695652176,23.82608695652174,14.565217391304348,23.434782608695652,11.217391304347826,16.73913043478261,5.608695652173913,11.130434782608695,10.782608695652174,898.1304347826087,90.0,294.4347826086956,376.1304347826087,236.30434782608697,41.69565217391305,26.434782608695652,43.628571428571426,44.03809523809524,512.1304347826087,1393.0,29.08695652173913,17.82608695652174,10.434782608695652,18.608695652173914,17.652173913043477,595.0869565217391,60.73913043478261,15.391304347826088,17.608695652173914,3.0434782608695654,26.73913043478261,65.0,18.47826086956522,17.782608695652176,49.678260869565214,1.2650000000000001,70.6,39.6,50.0
Nott'ham Forest,23.863636363636363,17.0,1527.6818181818182,2.3636363636363638,1.7272727272727273,3.3636363636363638,0.09090909090909091,1.8863636363636365,1.3909090909090909,25.59090909090909,44.27272727272727,43.90909090909091,0.11863636363636364,0.09363636363636364,0.11272727272727273,0.08772727272727272,38.989999999999995,0.4327272727272727,0.079,19.09,427.8181818181818,73.71363636363637,7300.727272727273,86.27272727272727,77.49545454545455,45.13636363636363,13.818181818181818,37.63636363636363,9.545454545454545,2.409090909090909,44.27272727272727,32.59090909090909,1.9281818181818182,3.772727272727273,0.2127272727272727,28.136363636363637,17.045454545454547,26.727272727272727,13.181818181818182,17.636363636363637,6.545454545454546,11.090909090909092,13.045454545454545,759.5,101.36363636363636,262.22727272727275,302.22727272727275,204.77272727272728,31.772727272727273,24.727272727272727,50.111111111111114,38.62222222222223,349.45454545454544,1069.6818181818182,25.59090909090909,16.09090909090909,7.7272727272727275,23.0,13.136363636363637,424.45454545454544,43.90909090909091,16.272727272727273,17.0,3.727272727272727,23.818181818181817,64.22727272727273,23.136363636363637,22.681818181818183,50.404545454545456,1.21,73.8,38.2,0.0
Southampton,18.137931034482758,12.862068965517242,1151.344827586207,0.8275862068965517,0.5172413793103449,2.7586206896551726,0.10344827586206896,1.0448275862068965,0.7896551724137931,20.24137931034483,35.55172413793103,34.51724137931034,0.05379310344827586,0.043448275862068966,0.07724137931034483,0.05379310344827586,25.948,0.21793103448275863,0.0712,17.344,485.48275862068965,80.91724137931034,8224.206896551725,89.68275862068967,85.47586206896553,53.332142857142856,8.586206896551724,31.482758620689655,6.758620689655173,1.793103448275862,35.55172413793103,19.586206896551722,1.4175862068965517,1.3793103448275863,0.10896551724137932,20.0,11.517241379310345,17.896551724137932,9.206896551724139,12.96551724137931,5.689655172413793,7.275862068965517,9.448275862068966,707.0,91.82758620689656,259.0,303.82758620689657,150.3448275862069,21.24137931034483,22.379310344827587,48.142307692307696,42.41153846153846,394.2413793103448,1070.896551724138,20.24137931034483,14.931034482758621,5.068965517241379,14.551724137931034,10.96551724137931,480.2758620689655,34.51724137931034,14.344827586206897,13.275862068965518,1.4827586206896552,17.103448275862068,45.03448275862069,14.172413793103448,12.379310344827585,54.172413793103445,2.4133333333333336,67.60000000000001,2.566666666666667,14.3
Tottenham,18.88888888888889,13.814814814814815,1241.111111111111,2.185185185185185,1.6666666666666667,2.3703703703703702,0.037037037037037035,2.074074074074074,1.5518518518518518,28.962962962962962,56.22222222222222,55.851851851851855,0.13666666666666666,0.11703703703703704,0.14444444444444443,0.10740740740740741,32.97083333333333,0.4118518518518518,0.07375,16.366666666666667,570.5555555555555,80.93703703703704,9466.222222222223,89.56666666666668,84.74074074074075,55.25185185185185,13.37037037037037,44.592592592592595,13.185185185185185,3.0,56.22222222222222,30.88888888888889,1.9877777777777779,3.7777777777777777,0.2544444444444445,22.333333333333332,14.185185185185185,20.185185185185187,10.0,14.555555555555555,5.074074074074074,9.481481481481481,10.481481481481481,828.3333333333334,83.74074074074075,266.81481481481484,350.44444444444446,219.22222222222223,35.51851851851852,27.666666666666668,43.8,43.4076923076923,519.0370370370371,1439.4074074074074,28.962962962962962,19.48148148148148,8.666666666666666,17.88888888888889,14.296296296296296,566.0370370370371,55.851851851851855,14.518518518518519,16.333333333333332,2.037037037037037,26.444444444444443,56.22222222222222,13.703703703703704,14.222222222222221,50.114814814814814,1.78,63.5,19.166666666666668,0.0
West Ham,20.92,14.96,1341.92,1.44,0.92,2.88,0.12,1.736,1.228,22.36,43.68,43.36,0.0864,0.0756,0.1404,0.10400000000000001,24.369565217391305,0.39039999999999997,0.04782608695652174,17.717391304347824,519.0,78.616,9131.32,88.7,83.22399999999999,52.556000000000004,11.96,38.52,9.76,2.56,43.68,29.48,2.2092,2.2,0.1348,22.52,13.28,18.88,9.04,16.36,6.28,10.08,12.0,806.28,105.92,297.08,343.48,173.56,30.12,28.12,51.67083333333333,37.391666666666666,411.56,1060.64,22.36,14.4,6.36,17.6,14.36,515.2,43.36,15.56,14.56,2.68,21.64,55.52,20.92,19.84,51.284,1.7,68.85,17.45,0.0
Wolves,22.782608695652176,16.652173913043477,1495.2173913043478,2.1739130434782608,1.6956521739130435,3.217391304347826,0.08695652173913043,1.7608695652173914,1.4000000000000001,23.565217391304348,45.91304347826087,45.26086956521739,0.12217391304347826,0.10043478260869565,0.11130434782608696,0.07956521739130436,30.59047619047619,0.34956521739130436,0.0980952380952381,18.047619047619047,563.5652173913044,77.84347826086957,9615.91304347826,88.33043478260869,84.84347826086957,52.45217391304348,12.391304347826088,39.26086956521739,10.826086956521738,2.782608695652174,45.91304347826087,29.52173913043478,1.7804347826086957,3.9130434782608696,0.2526086956521739,32.08695652173913,18.91304347826087,26.82608695652174,12.217391304347826,18.043478260869566,5.869565217391305,12.173913043478262,12.08695652173913,875.8260869565217,103.43478260869566,311.0869565217391,393.6521739130435,181.7391304347826,28.304347826086957,28.391304347826086,44.13809523809524,42.95238095238095,480.60869565217394,1328.695652173913,23.565217391304348,17.91304347826087,5.695652173913044,23.043478260869566,14.434782608695652,559.2173913043479,45.26086956521739,19.782608695652176,16.91304347826087,2.5217391304347827,21.652173913043477,65.6086956521739,17.73913043478261,19.043478260869566,46.15652173913043,2.05,61.75,12.95,16.65
